"Rank","Title","Theaters","Total.Gross","Release.Date","Distributor"
1,"Barbie",4337,594254460,"2023-07-21 00:00:00","Warner Bros."
2,"The Super Mario Bros. Movie",4371,574759600,"2023-04-05 00:00:00","Universal Pictures"
3,"Spider-Man: Across the Spider-Verse",4332,381178195,"2023-06-02 00:00:00","Columbia Pictures"
4,"Guardians of the Galaxy Vol. 3",4450,358995815,"2023-05-05 00:00:00","Walt Disney Studios Motion Pictures"
5,"Oppenheimer",3761,300144670,"2023-07-21 00:00:00","Universal Pictures"
6,"The Little Mermaid",4320,297895447,"2023-05-26 00:00:00","Walt Disney Studios Motion Pictures"
7,"Avatar: The Way of Water",4340,684075767,"2023-12-16 00:00:00","20th Century Studios"
8,"Ant-Man and the Wasp: Quantumania",4345,214504909,"2023-02-17 00:00:00","Walt Disney Studios Motion Pictures"
9,"John Wick: Chapter 4",3855,187131806,"2023-03-24 00:00:00","Lionsgate"
10,"Sound of Freedom",3411,180587629,"2023-07-04 00:00:00","Angel Studios"
11,"Indiana Jones and the Dial of Destiny",4600,174116627,"2023-06-30 00:00:00","Walt Disney Studios Motion Pictures"
12,"Mission: Impossible - Dead Reckoning Part One",4327,168248955,"2023-07-12 00:00:00","Paramount Pictures"
13,"Transformers: Rise of the Beasts",3680,157066392,"2023-06-09 00:00:00","Paramount Pictures"
14,"Creed III",4007,156248615,"2023-03-03 00:00:00","United Artists Releasing"
15,"Elemental",4035,151692473,"2023-06-16 00:00:00","Walt Disney Studios Motion Pictures"
16,"Fast X",4088,145960660,"2023-05-19 00:00:00","Universal Pictures"
17,"Puss in Boots: The Last Wish",4121,185535345,"2023-12-21 00:00:00","Universal Pictures"
18,"Scream VI",3676,108161389,"2023-03-10 00:00:00","Paramount Pictures"
19,"The Flash",4256,108133313,"2023-06-16 00:00:00","Warner Bros."
20,"Teenage Mutant Ninja Turtles: Mutant Mayhem",3950,99847538,"2023-08-02 00:00:00","Paramount Pictures"
21,"M3GAN",3628,95043350,"2023-01-06 00:00:00","Universal Pictures"
22,"Dungeons & Dragons: Honor Among Thieves",3856,93277026,"2023-03-31 00:00:00","Paramount Pictures"
23,"Insidious: The Red Door",3188,82042800,"2023-07-07 00:00:00","Screen Gems"
24,"Meg 2: The Trench",3604,74469810,"2023-08-04 00:00:00","Warner Bros."
25,"Evil Dead Rise",3417,67233054,"2023-04-21 00:00:00","Warner Bros."
26,"Cocaine Bear",3571,64388510,"2023-02-24 00:00:00","Universal Pictures"
27,"A Man Called Otto",3957,64267657,"2023-12-30 00:00:00","Columbia Pictures"
28,"Haunted Mansion",3740,62291150,"2023-07-28 00:00:00","Walt Disney Studios Motion Pictures"
29,"Shazam! Fury of the Gods",4071,57638006,"2023-03-17 00:00:00","Warner Bros."
30,"Air",3507,52460106,"2023-04-05 00:00:00",NA
31,"Jesus Revolution",2575,52102987,"2023-02-24 00:00:00","Lionsgate"
32,"No Hard Feelings",3208,50452282,"2023-06-23 00:00:00","Sony Pictures Entertainment (SPE)"
33,"Blue Beetle",3871,46566539,"2023-08-18 00:00:00","Warner Bros."
34,"The Boogeyman",3205,43244282,"2023-06-02 00:00:00","Walt Disney Studios Motion Pictures"
35,"Talk to Me",2379,41066389,"2023-07-28 00:00:00","A24"
36,"80 for Brady",3939,39330588,"2023-02-03 00:00:00","Paramount Pictures"
37,"Knock at the Cabin",3657,35397980,"2023-02-03 00:00:00","Universal Pictures"
38,"Missing",3025,32502025,"2023-01-20 00:00:00","Sony Pictures Entertainment (SPE)"
39,"Plane",3060,32111181,"2023-01-13 00:00:00","Lionsgate"
40,"65",3405,32062904,"2023-03-10 00:00:00","Sony Pictures Entertainment (SPE)"
41,"Asteroid City",1901,28049165,"2023-06-16 00:00:00","Focus Features"
42,"Magic Mike's Last Dance",3034,26005156,"2023-02-10 00:00:00","Warner Bros."
43,"Are You There God? It's Me, Margaret.",3343,20372406,"2023-04-28 00:00:00","Lionsgate"
44,"The Pope's Exorcist",3178,20009380,"2023-04-14 00:00:00","Screen Gems"
45,"Gran Turismo",3856,18541753,"2023-08-25 00:00:00","Sony Pictures Entertainment (SPE)"
46,"The Blackening",1775,17707207,"2023-06-16 00:00:00","Lionsgate"
47,"Book Club: The Next Chapter",3513,17556340,"2023-05-12 00:00:00","Focus Features"
48,"Pathaan",697,17487476,"2023-01-25 00:00:00","Yash Raj Films USA Inc."
49,"Black Panther: Wakanda Forever",4396,453829060,"2023-11-11 00:00:00","Walt Disney Studios Motion Pictures"
50,"Renfield",3378,17152625,"2023-04-14 00:00:00","Universal Pictures"
51,"The Covenant",2631,16938039,"2023-04-21 00:00:00","Metro-Goldwyn-Mayer (MGM)"
52,"Strays",3232,16840900,"2023-08-18 00:00:00","Universal Pictures"
53,"Champions",3039,16271910,"2023-03-10 00:00:00","Focus Features"
54,"Ruby Gillman, Teenage Kraken",3408,15753600,"2023-06-30 00:00:00","DreamWorks"
55,"Titanic25 Year Anniversary",2464,15033795,"2023-02-10 00:00:00","Paramount Pictures"
56,"The Last Voyage of the Demeter",2715,13309285,"2023-08-11 00:00:00","Universal Pictures"
57,"Joy Ride",2820,12897789,"2023-07-07 00:00:00","Lionsgate"
58,"The Whale",1721,17463630,"2023-12-09 00:00:00","A24"
59,"About My Father",2464,12089391,"2023-05-26 00:00:00","Lionsgate"
60,"His Only Son",1930,12084084,"2023-03-31 00:00:00","Angel Studios"
61,"Suzume",2170,10760901,"2023-04-14 00:00:00","Crunchyroll"
62,"Past Lives",906,10724951,"2023-06-02 00:00:00","A24"
63,"The Machine",2409,10458331,"2023-05-26 00:00:00","Sony Pictures Entertainment (SPE)"
64,"Whitney Houston: I Wanna Dance with Somebody",3625,23708080,"2023-12-23 00:00:00","TriStar Pictures"
65,"Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village",1774,10117806,"2023-03-03 00:00:00","Crunchyroll"
66,"House Party",1400,9002247,"2023-01-13 00:00:00","Warner Bros."
67,"Everything Everywhere All at Once",2220,77191785,"2023-03-25 00:00:00","A24"
68,"Beau Is Afraid",2125,8176562,"2023-04-14 00:00:00","A24"
69,"Sisu",1006,7265622,"2023-04-28 00:00:00","Lionsgate"
70,"Star Wars: Episode VI - Return of the Jedi2023 Re-release",475,7259924,"2023-04-28 00:00:00",NA
71,"Operation Fortune: Ruse de Guerre",2168,6496125,"2023-03-03 00:00:00","Lionsgate"
72,"BTS: Yet to Come in Cinemas",1210,8093270,"2023-02-01 00:00:00","Trafalgar Releasing"
73,"Babylon",3351,15351455,"2023-12-23 00:00:00","Paramount Pictures"
74,"Love Again",2703,6230837,"2023-05-05 00:00:00","Screen Gems"
75,"The Fabelmans",1962,17348945,"2023-11-11 00:00:00","Universal Pictures"
76,"The Chosen Season 3 Finale",1979,5525069,"2023-02-02 00:00:00","Fathom Events"
77,"Nefarious",933,5433685,"2023-04-14 00:00:00","Soli Deo Gloria Releasing"
78,"Big George Foreman",3054,5426772,"2023-04-28 00:00:00","Sony Pictures Entertainment (SPE)"
79,"Women Talking",707,5456531,"2023-12-23 00:00:00","United Artists Releasing"
80,"Infinity Pool",1835,5078400,"2023-01-27 00:00:00","Neon"
81,"You Hurt My Feelings",912,4830788,"2023-05-26 00:00:00","A24"
82,"Kandahar",2105,4813132,"2023-05-26 00:00:00","Open Road Films (II)"
83,"Hypnotic",2118,4500169,"2023-05-12 00:00:00","Ketchup Entertainment"
84,"Marlowe",2281,4350243,"2023-02-15 00:00:00","Open Road Films (II)"
85,"The Amazing Maurice",1717,4303645,"2023-02-03 00:00:00","Viva Pictures"
86,"Mummies",384,4275970,"2023-02-24 00:00:00","Warner Bros."
87,"Retribution",1750,3821285,"2023-08-25 00:00:00","Roadside Attractions"
88,"Ponniyin Selvan: Part Two",NA,3813000,"2023-04-28 00:00:00",NA
89,"Left Behind: Rise of the Antichrist",1407,3649422,"2023-01-26 00:00:00","Fathom Events"
90,"Theater Camp",555,3644801,"2023-07-14 00:00:00","Searchlight Pictures"
91,"The Journey: A Music Special from Andrea Bocelli",1074,3574915,"2023-04-02 00:00:00","Fathom Events"
92,"Chevalier",1281,3541159,"2023-04-21 00:00:00","Walt Disney Studios Motion Pictures"
93,"Mafia Mamma",2002,3496761,"2023-04-14 00:00:00","Bleecker Street Media"
94,"The Wandering Earth II",172,5023132,"2023-01-22 00:00:00","Well Go USA Entertainment"
95,"A Thousand and One",926,3400020,"2023-03-31 00:00:00","Focus Features"
96,"Violent Night",3723,50057405,"2023-12-02 00:00:00","Universal Pictures"
97,"2023 Oscar Nominated Short Films: Live Action",357,3025631,"2023-02-17 00:00:00","ShortsTV"
98,"Living",644,3038113,"2023-12-23 00:00:00","Sony Pictures Classics"
99,"The Menu",3228,38501125,"2023-11-18 00:00:00","Searchlight Pictures"
100,"The Hill",1570,2515612,"2023-08-25 00:00:00","Briarcliff Entertainment"
101,"Tu Jhoothi Main Makkaar",400,2503604,"2023-03-08 00:00:00","Yash Raj Films USA Inc."
102,"Come Out in Jesus Name",1047,2500574,"2023-03-13 00:00:00","Fathom Events"
103,"A Good Person",687,2210465,"2023-03-24 00:00:00","United Artists Releasing"
104,"Moving On",794,2136832,"2023-03-17 00:00:00","Roadside Attractions"
105,"The Miracle Club",677,2104152,"2023-07-14 00:00:00","Sony Pictures Entertainment (SPE)"
106,"Skinamarink",809,2052272,"2023-01-13 00:00:00","IFC Films"
107,"Jurassic Park2023 Re-release (30th Anniversary)",1224,1864240,"2023-08-25 00:00:00","Universal Pictures"
108,"Golda",883,1856809,"2023-08-25 00:00:00","Bleecker Street Media"
